028.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/500s, ISO 80)
039.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/160s, ISO 80)
076.jpg: NIKON COOLPIX L22<br>(44 mm, f/3.3, 1/400s, ISO 80)
073.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/40s, ISO 80)
064.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/400s, ISO 80)
083.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/160s, ISO 80)
054.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/250s, ISO 80)
040.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/320s, ISO 80)
096.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/250s, ISO 80)
057.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/30s, ISO 160)
052.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/125s, ISO 80)
047.jpg: NIKON COOLPIX L22<br>(61 mm, f/7.1, 1/400s, ISO 80)
090.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/250s, ISO 80)
051.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/125s, ISO 80)
079.jpg: NIKON COOLPIX L22<br>(37 mm, f/3.1, 1/250s, ISO 80)
078.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/200s, ISO 80)
022.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/640s, ISO 80)
025.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/640s, ISO 80)
018.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/500s, ISO 80)
033.jpg: NIKON COOLPIX L22<br>(37 mm, f/5.5, 1/320s, ISO 80)
