purchase_photo_5.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/120s, ISO 40)
purchase_photo_4.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/210s, ISO 40)
purchase_photo_6.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/120s, ISO 50)
purchase_photo_7.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/60s, ISO 40)
purchase_photo_14.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/1400s, ISO 40)
purchase_photo_10.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/850s, ISO 40)
purchase_photo_3.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/210s, ISO 40)
purchase_photo_2.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/180s, ISO 40)
purchase_photo_11.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/530s, ISO 40)
purchase_photo_13.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/30s, ISO 40)
purchase_photo_1.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/140s, ISO 40)
purchase_photo_12.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/40s, ISO 50)
purchase_photo_9.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/500s, ISO 40)
purchase_photo_8.jpg: samsung SM-G900P<br>(31 mm, f/2.2, 1/125s, ISO 40)
