DSC02367.jpg: SONY DSC-RX100M3<br>(50 mm, f/4.0, 1/80s, ISO 125)
DSC02358.jpg: SONY DSC-RX100M3<br>(24 mm, f/4.0, 1/125s, ISO 125)
DSC02370.jpg: SONY DSC-RX100M3<br>(24 mm, f/3.2, 1/30s, ISO 125)
DSC02365.jpg: SONY DSC-RX100M3<br>(35 mm, f/4.0, 1/125s, ISO 125)
DSC02375.jpg: SONY DSC-RX100M3<br>(36 mm, f/3.5, 1/25s, ISO 320)
DSC02360.jpg: SONY DSC-RX100M3<br>(35 mm, f/4.0, 1/400s, ISO 125)
DSC02362.jpg: SONY DSC-RX100M3<br>(24 mm, f/4.0, 1/160s, ISO 125)
DSC02377.jpg: SONY DSC-RX100M3<br>(24 mm, f/1.8, 1/30s, ISO 5000)
DSC02363.jpg: SONY DSC-RX100M3<br>(24 mm, f/4.0, 1/100s, ISO 125)
DSC02352.jpg: SONY DSC-RX100M3<br>(49 mm, f/4.0, 1/320s, ISO 125)
DSC02385.jpg: SONY DSC-RX100M3<br>(36 mm, f/4.0, 1/160s, ISO 125)
DSC02353.jpg: SONY DSC-RX100M3<br>(24 mm, f/4.0, 1/200s, ISO 125)
DSC02379.jpg: SONY DSC-RX100M3<br>(52 mm, f/4.0, 1/160s, ISO 125)
DSC02351.jpg: SONY DSC-RX100M3<br>(24 mm, f/4.0, 1/200s, ISO 125)
DSC02345.jpg: SONY DSC-RX100M3<br>(50 mm, f/4.0, 1/100s, ISO 125)
DSC02387.jpg: SONY DSC-RX100M3<br>(35 mm, f/4.0, 1/200s, ISO 125)
DSC02350.jpg: SONY DSC-RX100M3<br>(29 mm, f/4.5, 1/250s, ISO 125)
DSC02354.jpg: SONY DSC-RX100M3<br>(49 mm, f/4.0, 1/250s, ISO 125)
DSC02383.jpg: SONY DSC-RX100M3<br>(52 mm, f/5.0, 1/200s, ISO 125)
DSC02355.jpg: SONY DSC-RX100M3<br>(49 mm, f/4.0, 1/320s, ISO 125)
DSC02357.jpg: SONY DSC-RX100M3<br>(36 mm, f/4.5, 1/250s, ISO 125)
